City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,phan thiet,VN,72.41,broken clouds,10.93,108.1,Hotel Saigon-PT
462,ramanuj ganj,IN,58.51,clear sky,23.8,83.7,HOTEL SAI SIDDHI
465,poplar bluff,US,57.0,clear sky,36.76,-90.39,Holiday Inn Poplar Bluff
466,morehead,US,51.8,clear sky,37.27,-87.18,CCI Express Inn
470,billings,US,46.4,scattered clouds,45.78,-108.5,Best Western Plus Clocktower Inn
472,atambua,ID,75.27,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
474,tineo,ES,48.0,broken clouds,43.34,-6.41,Palacio de Meras Hotel y Restaurante
475,bandundu,CD,70.5,overcast clouds,-3.32,17.37,Coja Color
476,oltina,RO,48.99,overcast clouds,44.17,27.67,Pensiunea Casa Emy
477,glace bay,CA,51.01,light rain,46.2,-59.96,Cedarwoods Bed & Breakfast
479,bonavista,CA,48.2,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
481,barcelona,ES,50.0,few clouds,41.39,2.16,Axel Hotel Barcelona
482,thohoyandou,ZA,61.97,moderate rain,-22.95,30.48,Masili Guesthouse & Conference
484,halifax,CA,52.0,moderate rain,44.65,-63.57,Hotel Halifax
485,marsabit,KE,71.22,clear sky,2.33,37.99,Chicho Hotel
488,indianola,US,46.99,clear sky,41.36,-93.56,Quality Inn Indianola
490,ouadda,CF,74.97,clear sky,8.08,22.4,
491,fallon,US,41.0,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
500,kandri,IN,62.6,haze,21.42,79.27,OYO 69410 Sip & Bite Restaurant N Lodging
502,te anau,NZ,44.47,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
503,lata,PT,46.99,moderate rain,40.16,-8.33,Casa Maquia
506,stroby egede,DK,41.0,overcast clouds,55.41,12.24,Troldegaarden Guesthouse
508,truckee,US,50.0,clear sky,39.33,-120.18,Truckee Donner Lodge
509,chok chai,TH,64.99,clear sky,14.73,102.17,โรงแรม ที่พัก ปลายนา รีสอร์ท โชคชัย นครราชสีมา โคราช
513,port lincoln,AU,56.98,overcast clouds,-34.73,135.87,Port Lincoln Hotel
515,yambio,SS,75.42,clear sky,4.57,28.4,Kabash Inn
517,porto belo,BR,68.0,light rain,-27.16,-48.55,Costa Verde Beach Hotel
522,nyimba,ZM,73.56,light rain,-14.56,30.81,Dali Dali Lodge
523,teguise,ES,62.6,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
524,umea,SE,41.0,mist,63.83,20.26,Hotel Avenue | ProfilHotels
529,pacific grove,US,60.8,clear sky,36.62,-121.92,Lovers Point Inn
531,kon tum,VN,59.25,clear sky,14.35,108.0,Hoa đà spa- homestay
532,tura,IN,61.21,clear sky,25.52,90.22,Hotel RIKMAN Continental
535,lexington,US,46.0,few clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
541,mahon,ES,46.4,scattered clouds,39.89,4.27,ARTIEM Capri
542,naze,JP,66.2,mist,28.37,129.48,奄美ポートタワーホテル
545,krasnystaw,PL,44.6,broken clouds,50.98,23.17,Internat Liceum Ogólnokształcącego nr I
547,matai,TZ,64.4,few clouds,-8.3,31.52,Rashid agro vet
553,sabalgarh,IN,67.35,clear sky,26.25,77.4,Kailadevi studio
554,chicama,PE,69.8,few clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
556,portland,US,48.0,clear sky,45.52,-122.68,The Bidwell Marriott Portland
559,coihaique,CL,75.2,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
561,big spring,US,42.8,overcast clouds,32.25,-101.48,Hampton Inn & Suites Big Spring
563,waitati,NZ,52.0,few clouds,-45.75,170.57,Arden Country House Dunedin
564,mathbaria,BD,64.98,clear sky,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
570,galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
572,voh,NC,73.36,clear sky,-20.97,164.7,Le gîte du Koniambo
577,ilfracombe,GB,44.01,few clouds,51.21,-4.11,The Sandy Cove Hotel
579,invercargill,NZ,52.0,broken clouds,-46.4,168.35,Balmoral Lodge Motel
580,lagoa,PT,60.35,clear sky,39.05,-27.98,Casa Das Faias
583,florence,IT,59.0,light rain,43.77,11.25,Italiana Hotels Florence
589,pacifica,US,60.01,scattered clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
592,neringa,LT,46.4,clear sky,55.37,21.06,Preilos Krantas
593,dharchula,IN,48.76,scattered clouds,29.85,80.53,Mahara Hotel
594,necochea,AR,65.71,clear sky,-38.55,-58.74,dyd -mar Hotel
598,nassau,US,44.01,overcast clouds,40.75,-73.58,Hilton Garden Inn Westbury
601,tessalit,ML,74.68,clear sky,20.2,1.01,
606,port said,EG,62.6,scattered clouds,31.26,32.28,Aracan Hotel
607,stornoway,GB,44.6,overcast clouds,58.21,-6.39,Caladh Inn
609,sanpaul,RO,41.0,clear sky,46.45,24.35,Castel Haller
611,bagotville,AU,73.4,broken clouds,-28.98,153.42,Broadwater Sunrise Caravan Park
613,arica,CL,71.6,clear sky,-18.48,-70.3,Hostal Jardin Del Sol
616,saedinenie,BG,44.6,mist,42.27,24.55,"Обучение На Кучета И Хотел ""Дея"""
617,elat,IL,66.2,clear sky,29.56,34.95,Club Hotel Eilat
621,caluquembe,AO,62.85,few clouds,-13.78,14.68,
626,kristiinankaupunki,FI,41.32,overcast clouds,62.27,21.38,Hotel Alma
627,broken hill,AU,55.4,clear sky,-31.95,141.43,Daydream Motel & Cottages
635,hambantota,LK,73.4,clear sky,6.12,81.12,Bungalow 63
636,kasane,BW,69.8,light rain,-17.82,25.15,The Old House
637,meadow lake,US,50.0,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
638,shaoguan,CN,43.95,clear sky,24.8,113.58,Kim Deok-Hotel
640,mehran,IR,48.2,broken clouds,33.12,46.16,بوتیک زنانه بهار
643,aljezur,PT,50.0,clear sky,37.32,-8.8,Amazigh Hostel
646,shanghai,CN,48.99,clear sky,31.22,121.46,Regal International East Asia
647,san ramon de la nueva oran,AR,70.0,overcast clouds,-23.13,-64.33,Hotel Residencial Centro
649,mocuba,MZ,75.78,moderate rain,-16.84,36.99,Phama Lodge
651,jinka,ET,67.87,clear sky,5.65,36.65,
654,channel-port aux basques,CA,43.68,light rain,47.57,-59.14,St. Christopher's Hotel
657,meulaboh,ID,74.46,overcast clouds,4.14,96.13,Kost Pria
659,mareeba,AU,73.4,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
660,charagua,BO,68.0,overcast clouds,-19.8,-63.22,Residencial Luismar
661,erzin,TR,57.0,clear sky,36.96,36.2,Artemis Otel
662,gagra,GE,45.0,clear sky,43.33,40.22,Hotel KORSHIKOFF
665,maldonado,UY,63.0,few clouds,-34.67,-54.92,La Cimarrona
668,saurimo,AO,66.81,light rain,-9.66,20.39,Hotel Kawissa Saurimo
671,westport,US,42.01,light rain,41.14,-73.36,Norwalk Inn
673,vaxjo,SE,42.8,overcast clouds,56.88,14.81,Elite Stadshotellet Vaxjo
675,sola,VU,75.2,broken clouds,-13.88,167.55,Ulkel Guest House
677,la asuncion,VE,73.4,broken clouds,11.03,-63.86,Colinas de Matasiete
684,tateyama,JP,46.4,broken clouds,34.98,139.87,Tateyama Seaside Hotel
685,ostrowiec swietokrzyski,PL,46.0,broken clouds,50.93,21.39,VICTORIA Willa - Restauracja
