City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,ponta do sol,PT,2020-12-05 19:19:02,32.67,-17.1,59.0,72,40,11.41,scattered clouds
218,saint-francois,FR,2020-12-05 19:19:02,46.42,3.91,35.01,93,0,2.24,clear sky
219,bandarbeyla,SO,2020-12-05 19:19:02,9.49,50.81,75.94,80,1,13.85,clear sky
220,bundaberg,AU,2020-12-05 19:19:02,-24.85,152.35,77.0,73,75,11.41,broken clouds
221,lebu,CL,2020-12-05 19:19:02,-37.62,-73.65,60.24,64,0,13.47,clear sky
222,ucluelet,CA,2020-12-05 19:15:17,48.93,-125.55,53.6,58,75,12.75,broken clouds
223,victoria,HK,2020-12-05 19:15:02,22.29,114.16,63.0,69,0,7.23,clear sky
224,fort nelson,CA,2020-12-05 19:19:03,58.81,-122.7,32.0,84,75,2.24,broken clouds
225,khairpur,PK,2020-12-05 19:19:03,27.53,68.76,62.6,72,0,8.05,haze
226,tarko-sale,RU,2020-12-05 19:19:03,64.92,77.78,4.15,94,54,12.64,broken clouds
227,hamilton,US,2020-12-05 19:19:03,39.18,-84.53,46.0,60,40,8.05,scattered clouds
228,la ronge,CA,2020-12-05 19:19:03,55.1,-105.28,41.0,56,29,1.12,scattered clouds
229,esperance,AU,2020-12-05 19:19:03,-33.87,121.9,51.8,81,90,5.82,overcast clouds
230,kavaratti,IN,2020-12-05 19:19:03,10.57,72.64,82.22,75,34,7.45,light rain
231,aden,YE,2020-12-05 19:18:01,12.78,45.04,78.73,73,0,8.77,clear sky
232,pangkalanbuun,ID,2020-12-05 19:19:03,-2.68,111.62,74.86,96,100,3.4,overcast clouds
233,myrtle beach,US,2020-12-05 19:17:18,33.69,-78.89,61.0,47,1,14.99,clear sky
234,longyearbyen,SJ,2020-12-05 19:19:03,78.22,15.64,12.2,66,20,17.22,few clouds
235,hobyo,SO,2020-12-05 19:19:03,5.35,48.53,79.21,76,0,11.97,clear sky
236,ostersund,SE,2020-12-05 19:15:21,63.18,14.64,33.01,98,97,4.7,overcast clouds
237,sechenovo,RU,2020-12-05 19:19:03,55.22,45.89,10.83,89,4,4.63,clear sky
238,bilibino,RU,2020-12-05 19:19:04,68.05,166.44,-5.67,86,100,2.77,overcast clouds
239,gorontalo,ID,2020-12-05 19:19:04,0.54,123.06,76.51,88,97,2.95,overcast clouds
240,forbes,AU,2020-12-05 19:19:04,-33.38,148.02,61.0,93,0,3.0,clear sky
241,muchkapskiy,RU,2020-12-05 19:19:04,51.85,42.47,16.2,88,0,6.71,clear sky
242,kieta,PG,2020-12-05 19:19:04,-6.22,155.63,78.8,76,100,2.71,overcast clouds
243,dengzhou,CN,2020-12-05 19:16:09,37.81,120.75,35.91,74,100,7.99,overcast clouds
244,chinchani,IN,2020-12-05 19:19:04,19.87,72.7,75.25,50,81,6.11,broken clouds
245,ipu,BR,2020-12-05 19:19:04,-4.32,-40.71,95.2,27,39,7.27,scattered clouds
246,sabha,LY,2020-12-05 19:19:04,27.04,14.43,63.7,28,0,7.54,clear sky
247,myrtle grove,US,2020-12-05 19:19:04,30.42,-87.31,61.0,50,20,3.36,few clouds
248,sao jose,BR,2020-12-05 19:14:12,-28.23,-49.17,55.99,95,100,13.0,overcast clouds
249,sirpur,IN,2020-12-05 19:19:04,19.48,79.6,62.4,52,0,2.98,clear sky
250,jefferson city,US,2020-12-05 19:14:53,38.58,-92.17,55.99,53,1,5.1,clear sky
251,buraydah,SA,2020-12-05 19:19:05,26.33,43.98,68.0,100,75,5.82,mist
